score,time,best
61985,70112,53112
55817,52715,53112
64851,67100,53112
65709,54527,53112
58246,83187,53112
83672,47312,57403
77871,70299,57403
84398,84272,57403
92890,46472,57403
81307,74241,57403
82146,73974,61981
82944,43607,61981
80817,53469,61981
79361,69985,61981
73452,96726,61981
65954,63026,59625
73299,59011,59625
64068,52531,59625
78182,42722,59625
73989,54888,59625
75266,40989,45295
73529,56278,45295
74224,56637,45295
73931,70832,45295
77512,54191,45295
58936,56966,49014
67230,46103,49014
66170,69903,49014
54979,104862,49014
59502,55030,49014
68846,79506,45340
74540,77983,45340
80897,58549,45340
88492,68209,45340
80940,66171,45340
83124,56097,49659
77976,55791,49659
74322,75441,49659
81452,53865,49659
73832,53837,49659
72317,70373,52175
71313,84278,52175
77475,67220,52175
81572,60794,52175
85334,80429,52175
118216,62690,89492
113327,56134,89492
124595,46638,89492
117290,64145,89492
117945,54708,89492
158690,37793,53112
162133,89270,53112
152011,164070,53112
168360,36843,53112
147941,91759,53112
229713,102842,57403
205810,57127,57403
208958,46738,57403
257720,97647,57403
183078,54635,57403
186470,103422,61981
208242,114158,61981
226926,127069,61981
248229,42453,61981
209851,70061,61981
195460,112457,59625
185047,66278,59625
209123,67453,59625
214010,33535,59625
201157,58666,59625
230684,146297,45295
215063,105384,45295
195147,162463,45295
181275,130116,45295
242219,60582,45295
192316,122979,49014
133469,54377,49014
167434,86888,49014
187423,80683,49014
201233,53550,49014
216475,54829,45340
197456,33080,45340
187756,53724,45340
189988,71241,45340
226447,61217,45340
161723,113327,49659
197813,51568,49659
211434,85242,49659
208372,80325,49659
166720,104005,49659
183358,97860,52175
176856,87192,52175
155516,98040,52175
181992,107519,52175
211392,76941,52175
225649,105985,89492
253945,95017,89492
190815,113116,89492
251711,84522,89492
234137,101040,89492
69229,45663,53112
62037,48273,53112
61233,49564,53112
63681,42364,53112
73111,40806,53112
71564,51676,57403
79615,44865,57403
76024,53183,57403
83797,47302,57403
71640,72659,57403
81883,65310,61981
87157,52309,61981
81863,44422,61981
81634,51383,61981
