score,time,best
33867,1652281,53112
26622,2076521,57403
37021,1728788,61981
37185,1651432,59625
33500,1808317,45295
21590,1976036,49014
27412,2240362,45340
27337,1673451,49659
29982,2211732,52175
67084,2611569,89492
36992,1618344,53112
27829,2514604,57403
36153,1938957,61981
36803,2309933,59625
28055,2475842,45295
18398,2374696,49014
26499,2720176,45340
25172,2272721,49659
31082,3094785,52175
67453,2493550,89492
31166,1134109,53112
29922,1272862,57403
36390,1565283,61981
36066,1518059,59625
27205,1261330,45295
19853,1394522,49014
25808,1568856,45340
25796,2017535,49659
38298,1824934,52175
71113,1031439,89492
32848,2033216,53112
27407,1774012,57403
36213,1635370,61981
38977,2054379,59625
32402,1378985,45295
23586,1516159,49014
26511,1716475,45340
30768,1382477,49659
37437,1725333,52175
68563,1484692,89492
